"FRA;Quarter;DebtGDP;DebtLevel;WageShare;GDPVolume;GovDefGDP;GDPgrowth;ExtBalanceVolume;FRA"
"FRA;1980Q1;21,8;90,186;40,2;281035;0;0,01108292;-1290;FRA"
"FRA;1980Q2;21,9;93,484;40,3;284061;0;-0,0061359;-1723;FRA"
"FRA;1980Q3;21,9;96,565;42,3;270436;-0,5;0,000975;-2444;FRA"
"FRA;1980Q4;22,3;101,246;40,6;291156;-1,1;-0,00091361;-1258;FRA"
"FRA;1981Q1;22,6;105,111;41,1;281166;-1,5;0,0035546;-299;FRA"
"FRA;1981Q2;22,6;107,952;40,8;286063;-2,5;0,00565517;1117;FRA"
"FRA;1981Q3;22,5;111,123;42,6;273483;-3,1;0,00636022;1521;FRA"
"FRA;1981Q4;22,4;114,396;40,2;298112;-2,3;0,00639359;38;FRA"
"FRA;1982Q1;22,3;118,529;40,9;288521;-2,6;0,00738338;-506;FRA"
"FRA;1982Q2;22,5;124,009;40,4;294619;-3,2;0,00687313;-1868;FRA"
"FRA;1982Q3;22,8;129,887;42,1;280273;-3,2;0,00185327;-1825;FRA"
"FRA;1982Q4;23,3;136,843;39,8;303977;-2,2;0,004491;-315;FRA"
"FRA;1983Q1;23,7;142,736;40,3;294109;-2,8;0,004297;-142;FRA"
"FRA;1983Q2;23,9;147,964;39,8;298011;-2,6;0,00127;1747;FRA"
"FRA;1983Q3;24,2;153,508;41,2;283245;-2,1;0,00092586;2368;FRA"
"FRA;1983Q4;23,9;155,965;39;306689;-2,5;0,00542802;2806;FRA"
"FRA;1984Q1;24,3;162,637;39,4;299072;-3;0,00593118;2426;FRA"
"FRA;1984Q2;25;170,656;39,4;300540;-2,3;0,00300171;2825;FRA"
"FRA;1984Q3;25,4;176,912;40,5;289115;-3,1;0,00608565;3853;FRA"
"FRA;1984Q4;26;184,8;38,5;311334;-2,4;0,00116196;3174;FRA"
"FRA;1985Q1;26,5;191,361;39;301624;-2,5;0,00158175;2524;FRA"
"FRA;1985Q2;26,6;195,529;38,6;305663;-2,4;0,00772078;3108;FRA"
